                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.42176,                0.28817,                0.90099,                0.99908,                      1,                  0.995,                0.93966,                0.41597,                0.25111,                  0.864,              0.0004952,              0.0004952,              0.0004952
                     79,                0.42846,                0.28385,                0.89426,                0.99346,                      1,                0.99481,                0.93168,                0.41796,                0.24889,                0.86459,              0.0004754,              0.0004754,              0.0004754
                     80,                0.42041,                 0.2898,                0.89933,                 0.9996,                      1,                  0.995,                0.93098,                0.42825,                0.25934,                0.87509,              0.0004556,              0.0004556,              0.0004556
                     81,                0.41513,                0.28317,                0.89757,                 0.9995,                      1,                  0.995,                0.93653,                0.42874,                0.25415,                0.87707,              0.0004358,              0.0004358,              0.0004358
                     82,                0.41647,                0.27366,                0.90332,                0.99952,                      1,                  0.995,                0.93469,                0.43459,                0.24933,                0.88293,               0.000416,               0.000416,               0.000416
                     83,                0.39519,                0.27868,                0.88661,                0.98611,                      1,                0.99474,                0.93319,                0.42834,                0.25534,                0.88623,              0.0003962,              0.0003962,              0.0003962
                     84,                0.40161,                0.28197,                0.89938,                0.97452,                0.99994,                0.99461,                0.94401,                0.41123,                0.26258,                0.87105,              0.0003764,              0.0003764,              0.0003764
                     85,                0.40083,                0.28362,                0.89501,                0.99295,                0.99346,                0.99493,                0.93806,                0.40999,                0.24435,                0.87599,              0.0003566,              0.0003566,              0.0003566
                     86,                0.39541,                0.26979,                  0.887,                 0.9935,                  0.999,                0.99494,                0.94119,                0.40916,                0.24361,                0.87471,              0.0003368,              0.0003368,              0.0003368
                     87,                0.38551,                0.26627,                0.87821,                 0.9926,                0.99346,                0.99493,                0.93943,                0.42809,                 0.2527,                0.87918,               0.000317,               0.000317,               0.000317
